ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
DB,CL1,,,,,,2027,0100,0+000,,,,, 17.5656,104.6081
DB,CL2,,,,,,2027,0100,0+040,,,,, 17.5659,104.6079
DB,CL3,,,,,,2027,0100,0+075,,,,, 17.5662,104.6077
DB,CL4,,,,,,2027,0100,0+110,,,,, 17.5664,104.6075
DB,CL5,,,,,,2027,0100,0+145,,,,, 17.5666,104.6073
DB,CL6,,,,,,2027,0100,0+180,,,,, 17.5668,104.6071
DB,CL7,,,,,,2027,0100,0+220,,,,, 17.5671,104.6068
DB,CL8,,,,,,2027,0100,0+255,,,,, 17.5674,104.6066
DB,CL9,,,,,,2027,0100,0+290,,,,, 17.5676,104.6065
DB,CL10,,,,,,2027,0100,0+325,,,,, 17.5678,104.6063
SG,RT1,,,,,,2027,0100,0+323,,,,, 17.5679,104.6064
SG,LT1,,,,,,2027,0100,0+323,,,,, 17.5677,104.6062
SG,RT2,,,,,,2027,0100,0+358,,,,, 17.5681,104.6062
DB,CL11,,,,,,2027,0100,0+360,,,,, 17.5680,104.6061
SG,LT2,,,,,,2027,0100,0+358,,,,, 17.5679,104.6060
DB,CL12,,,,,,2027,0100,0+390,,,,, 17.5682,104.6059
SG,RT3,,,,,,2027,0100,0+390,,,,, 17.5683,104.6060
SG,LT3,,,,,,2027,0100,0+390,,,,, 17.5682,104.6058
DB,CL13,,,,,,2027,0100,0+425,,,,, 17.5685,104.6057
DB,CL14,,,,,,2027,0100,0+460,,,,, 17.5686,104.6056
DB,CL15,,,,,,2027,0100,0+495,,,,, 17.5688,104.6054
DB,CL16,,,,,,2027,0100,0+530,,,,, 17.5690,104.6052
DB,CL17,,,,,,2027,0100,0+550,,,,, 17.5692,104.6051
DB,CL18,,,,,,2027,0100,0+580,,,,, 17.5694,104.6049
DB,CL19,,,,,,2027,0100,0+600,,,,, 17.5695,104.6048
DB,CL20,,,,,,2027,0100,0+630,,,,, 17.5698,104.6046
DB,CL21,,,,,,2027,0100,0+665,,,,, 17.5700,104.6044
DB,CL22,,,,,,2027,0100,0+700,,,,, 17.5702,104.6042
DB,CL23,,,,,,2027,0100,0+735,,,,, 17.5705,104.6040
DB,CL24,,,,,,2027,0100,0+770,,,,, 17.5707,104.6038
DB,CL25,,,,,,2027,0100,0+805,,,,, 17.5710,104.6036
DB,CL26,,,,,,2027,0100,0+840,,,,, 17.5712,104.6034
SG,LT4,,,,,,2027,0100,0+880,,,,, 17.5714,104.6030
SG,RT4,,,,,,2027,0100,0+880,,,,, 17.5716,104.6032
SG,RT5,,,,,,2027,0100,0+915,,,,, 17.5718,104.6030
SG,LT5,,,,,,2027,0100,0+915,,,,, 17.5717,104.6028
SG,LT6,,,,,,2027,0100,0+950,,,,, 17.5719,104.6026
SG,RT6,,,,,,2027,0100,0+960,,,,, 17.5721,104.6027
SG,LT7,,,,,,2027,0100,0+985,,,,, 17.5722,104.6025
SG,RT7,,,,,,2027,0100,0+985,,,,, 17.5723,104.6026
SG,LT8,,,,,,2027,0100,1+015,,,,, 17.5724,104.6023
SG,RT8,,,,,,2027,0100,1+015,,,,, 17.5725,104.6024
SG,LT9,,,,,,2027,0100,1+045,,,,, 17.5726,104.6021
SG,RT9,,,,,,2027,0100,1+045,,,,, 17.5727,104.6022
SG,LT10,,,,,,2027,0100,1+085,,,,, 17.5729,104.6019
SG,RT10,,,,,,2027,0100,1+085,,,,, 17.5730,104.6020
SG,LT11,,,,,,2027,0100,1+350,,,,, 17.5763,104.5916
SG,RT11,,,,,,2027,0100,2+430,,,,, 17.5766,104.5910
SG,LT12,,,,,,2027,0100,2+450,,,,, 17.5765,104.5908
SG,RT12,,,,,,2027,0100,2+495,,,,, 17.5768,104.5904
