ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
sg,md/lt33,,,,,,212,0301,307+113,,,,, 17.4526,104.7437
sg,md/lt34,,,,,,212,0301,307+196,,,,, 17.4521,104.7439
sg,md/lt35,,,,,,212,0301,308+032,,,,, 17.4458,104.7473
sg,md/lt36,,,,,,212,0301,308+200,,,,, 17.4453,104.7476
sg,md/lt37,,,,,,212,0301,308+262,,,,, 17.4449,104.7480
sg,md/lt38,,,,,,212,0301,308+318,,,,, 17.4446,104.7483
sg,md/lt39,,,,,,212,0301,308+394,,,,, 17.4441,104.7487
sg,lt1,,,,,,212,0301,243+144,,,,, 17.7771,104.2743
sg,lt2,,,,,,212,0301,243+187,,,,, 17.7767,104.2745
sg,lt3,,,,,,212,0301,243+231,,,,, 17.7764,104.2747
sg,lt4,,,,,,212,0301,243+276,,,,, 17.7760,104.2749
sg,lt5,,,,,,212,0301,243+317,,,,, 17.7757,104.2751
sg,lt6,,,,,,212,0301,243+367,,,,, 17.7753,104.2754
sg,lt7,,,,,,212,0301,243+414,,,,, 17.7749,104.2756
sg,lt8,,,,,,212,0301,243+462,,,,, 17.7746,104.2758
sg,lt9,,,,,,212,0301,243+505,,,,, 17.7742,104.2760
sg,lt10,,,,,,212,0301,243+547,,,,, 17.7739,104.2762
sg,lt11,,,,,,212,0301,243+596,,,,, 17.7736,104.2764
sg,lt12,,,,,,212,0301,243+637,,,,, 17.7732,104.2766
sg,lt13,,,,,,212,0301,243+686,,,,, 17.7728,104.2768
sg,lt14,,,,,,212,0301,243+731,,,,, 17.7725,104.2770
sg,lt15,,,,,,212,0301,243+777,,,,, 17.7721,104.2772
sg,lt16,,,,,,212,0301,243+821,,,,, 17.7718,104.2774
sg,lt17,,,,,,212,0301,243+869,,,,, 17.7714,104.2776
sg,lt18,,,,,,212,0301,243+910,,,,, 17.7710,104.2778
sg,lt19,,,,,,212,0301,243+953,,,,, 17.7707,104.2780
sg,lt20,,,,,,212,0301,244+213,,,,, 17.7687,104.2792
sg,lt21,,,,,,212,0301,244+263,,,,, 17.7683,104.2795
sg,lt22,,,,,,212,0301,244+303,,,,, 17.7680,104.2796
sg,lt23,,,,,,212,0301,244+348,,,,, 17.7676,104.2799
sg,lt24,,,,,,212,0301,244+392,,,,, 17.7673,104.2801
sg,lt25,,,,,,212,0301,244+439,,,,, 17.7669,104.2803
sg,lt26,,,,,,212,0301,244+483,,,,, 17.7665,104.2805
sg,lt27,,,,,,212,0301,244+528,,,,, 17.7662,104.2807
sg,lt28,,,,,,212,0301,244+573,,,,, 17.7659,104.2809
sg,lt29,,,,,,212,0301,244+619,,,,, 17.7655,104.2811
sg,lt30,,,,,,212,0301,244+664,,,,, 17.7651,104.2813
sg,lt31,,,,,,212,0301,245+036,,,,, 17.7624,104.2833
sg,lt32,,,,,,212,0301,245+086,,,,, 17.7621,104.2836
sg,lt33,,,,,,212,0301,245+129,,,,, 17.7618,104.2839
sg,lt34,,,,,,212,0301,245+177,,,,, 17.7616,104.2843
sg,lt35,,,,,,212,0301,245+222,,,,, 17.7614,104.2847
sg,lt36,,,,,,212,0301,245+304,,,,, 17.7612,104.2851
sg,lt37,,,,,,212,0301,245+348,,,,, 17.7610,104.2854
sg,lt38,,,,,,212,0301,245+398,,,,, 17.7609,104.2859
sg,lt39,,,,,,212,0301,245+438,,,,, 17.7608,104.2862
